id,type1simline,type2simline,type3simline,type1simtok,type2simtok,type3simtok,fragment1,path,startline,endline,lines,prettylines,tokens,functions_intersected,unmatched_braces,fragment2,path,startline,endline,lines,prettylines,tokens,functions_intersected,unmatched_braces
28917591,,,,0.28,0.413333,0.413333,533611,source/net/filebot/util/BOM.java,64,71,8,,40,1,0,1285415,source/net/filebot/util/TemporaryFolder.java,125,137,13,,75,1,0
22830734,,,,0.65625,0.875,0.875,533516,source/net/filebot/ui/sfv/ChecksumComputationService.java,76,82,7,,28,1,0,533697,source/net/filebot/util/TemporaryFolder.java,50,56,7,,32,1,0
28917543,,,,0.263158,0.368421,0.368421,533611,source/net/filebot/util/BOM.java,64,71,8,,40,1,0,1285386,source/net/filebot/ui/transfer/TransferablePolicy.java,18,35,18,,76,1,0
22830719,,,,0.366667,0.566667,0.566667,533577,source/net/filebot/format/ExpressionFilter.java,49,55,7,,27,1,1,533689,source/net/filebot/util/ByteBufferOutputStream.java,98,103,6,,30,1,0
28418439,,,,0.84375,0.90625,0.90625,1238541,source/net/filebot/ui/SupportDialog.java,1,7,7,,61,0,0,1238551,source/net/filebot/ui/rename/HistoryDialog.java,6,11,6,,64,0,0
22830687,,,,0.433962,0.54717,0.54717,533665,source/net/filebot/util/ui/SimpleLabelProvider.java,74,80,7,,37,1,0,533681,source/net/filebot/util/SystemProperty.java,32,38,7,,53,1,0
22830644,,,,0.5,0.75,0.75,533601,source/net/filebot/ui/LanguageComboBoxModel.java,65,70,6,,46,1,0,533671,source/net/filebot/vfs/SimpleFileInfo.java,48,55,8,,52,1,0
22830470,,,,0.531915,0.787234,0.787234,533601,source/net/filebot/ui/LanguageComboBoxModel.java,65,70,6,,46,1,0,533614,source/net/filebot/History.java,63,70,8,,47,1,0
22830522,,,,0.478261,0.717391,0.717391,533601,source/net/filebot/ui/LanguageComboBoxModel.java,65,70,6,,46,1,0,533624,source/net/filebot/History.java,168,175,8,,38,1,0
22830485,,,,0.421875,0.625,0.625,533601,source/net/filebot/ui/LanguageComboBoxModel.java,65,70,6,,46,1,0,533621,source/net/filebot/History.java,112,119,8,,64,1,0
28418442,,,,0.83871,0.935484,0.935484,1238541,source/net/filebot/ui/SupportDialog.java,1,7,7,,61,0,0,1238556,source/net/filebot/ui/rename/EpisodeListMatcher.java,4,9,6,,62,0,0
26804833,,,,0.850746,0.865672,0.865672,755821,source/net/filebot/torrent/BDecoder.java,169,178,10,,60,1,0,755822,source/net/filebot/torrent/BDecoder.java,201,209,9,,67,1,0
26804848,,,,0.833333,0.877778,0.877778,755848,source/net/filebot/similarity/EpisodeMetrics.java,242,253,12,,79,0,4,755849,source/net/filebot/similarity/EpisodeMetrics.java,435,447,13,,90,0,5
22830440,,,,0.490196,0.72549,0.72549,533600,source/net/filebot/web/EpisodeInfo.java,83,90,8,,51,1,0,533601,source/net/filebot/ui/LanguageComboBoxModel.java,65,70,6,,46,1,0
22830641,,,,0.692308,0.846154,0.846154,533600,source/net/filebot/web/EpisodeInfo.java,83,90,8,,51,1,0,533671,source/net/filebot/vfs/SimpleFileInfo.java,48,55,8,,52,1,0
26804823,,,,0.808219,0.863014,0.863014,755801,source/net/filebot/cli/CmdlineOperations.java,396,405,10,,63,0,2,755802,source/net/filebot/ui/rename/MovieMatcher.java,145,154,10,,73,0,2
22830468,,,,0.784314,0.921569,0.921569,533600,source/net/filebot/web/EpisodeInfo.java,83,90,8,,51,1,0,533614,source/net/filebot/History.java,63,70,8,,47,1,0
26804834,,,,0.776119,0.791045,0.791045,755823,source/net/filebot/ui/FileBotListExportHandler.java,37,44,8,,53,0,0,755824,source/net/filebot/ui/FileBotListExportHandler.java,55,62,8,,67,0,0
22830490,,,,0.647059,0.745098,0.745098,533600,source/net/filebot/web/EpisodeInfo.java,83,90,8,,51,1,0,533624,source/net/filebot/History.java,168,175,8,,38,1,0
22830483,,,,0.578125,0.765625,0.765625,533600,source/net/filebot/web/EpisodeInfo.java,83,90,8,,51,1,0,533621,source/net/filebot/History.java,112,119,8,,64,1,0
22830450,,,,0.571429,0.738095,0.738095,533572,source/net/filebot/hash/MessageDigestHash.java,15,21,7,,36,1,0,533603,source/net/filebot/archive/ExtractOutStream.java,24,31,8,,42,1,0
22830625,,,,0.648649,0.891892,0.891892,533572,source/net/filebot/hash/MessageDigestHash.java,15,21,7,,36,1,0,533665,source/net/filebot/util/ui/SimpleLabelProvider.java,74,80,7,,37,1,0
22830408,,,,0.521739,0.717391,0.717391,533572,source/net/filebot/hash/MessageDigestHash.java,15,21,7,,36,1,0,533578,source/net/filebot/web/OpenSubtitlesXmlRpc.java,335,341,7,,46,2,0
22830688,,,,0.396226,0.528302,0.528302,533572,source/net/filebot/hash/MessageDigestHash.java,15,21,7,,36,1,0,533681,source/net/filebot/util/SystemProperty.java,32,38,7,,53,1,0
