262,359,98,98,0.7959183673,1,0,98,0.9455676516,1,1,1,98,98,98,98,0,1,1,2,2,1,1,643,643,643,643,0,1
264,274,11,12,0.5,0.9166666667,1,11.5,0.8403361345,0.8823529412,0.9166666667,0.8823529412,12,11,11,12,1,0,0,0,2,1,1,119,105,105,119,14,1
683,708,26,26,0.5384615385,0.8461538462,0,26,0.8790322581,0.9677419355,0.8461538462,0.9677419355,26,26,26,26,0,0,0,0,2,1,1,124,124,124,124,0,1
142,173,32,32,1,1,0,32,1,1,1,1,33,33,33,33,0,0,0,0,2,1,1,235,235,235,235,0,1
1167,1197,31,31,0.9677419355,0.9677419355,0,31,0.9761904762,0.9880952381,0.1612903226,0.7678571429,31,31,31,31,0,1,1,2,2,1,1,168,166,166,168,2,1
204,217,14,14,1,1,0,14,1,1,1,1,15,15,15,15,0,0,0,0,2,1,1,123,123,123,123,0,1
58,70,13,13,0.8461538462,0.8461538462,0,13,0.914893617,0.9574468085,0.7692307692,0.9361702128,13,13,13,13,0,0,0,0,2,1,1,94,90,90,94,4,1
402,425,24,24,1,1,0,24,1,1,1,1,24,24,24,24,0,0,0,0,2,1,1,168,168,168,168,0,0
1041,1055,15,18,0.4444444444,0.7222222222,3,16.5,0.8108108108,0.8581081081,0.4444444444,0.7702702703,18,15,15,18,3,0,0,0,2,1,1,148,131,131,148,17,1
114,125,9,12,0.2142857143,0.5714285714,3,10.5,0.4727272727,0.6363636364,0.2857142857,0.5,11,14,11,14,3,0,0,0,2,1,1,86,110,86,110,24,0
414,433,20,20,1,1,0,20,1,1,1,1,21,21,21,21,0,0,0,0,2,1,1,189,189,189,189,0,1
341,347,7,7,0.7142857143,0.7142857143,0,7,0.8333333333,0.9333333333,0.7142857143,0.8666666667,7,7,7,7,0,0,0,0,2,1,1,30,30,30,30,0,0
572,592,21,23,0.84,0.88,2,22,0.8395721925,0.871657754,0.68,0.807486631,25,23,23,25,2,0,0,0,2,1,1,187,166,166,187,21,1
22,47,26,26,1,1,0,26,1,1,1,1,22,22,22,22,0,2,2,4,2,1,1,142,142,142,142,0,0
925,937,12,13,0.5384615385,0.8461538462,1,12.5,0.7933884298,0.9256198347,0.3076923077,0.7272727273,12,13,12,13,1,0,0,0,2,1,1,118,121,118,121,3,0
26,44,19,19,1,1,0,19,1,1,1,1,19,19,19,19,0,2,2,4,2,1,1,164,164,164,164,0,1
1158,1170,13,14,0.2857142857,0.3571428571,1,13.5,0.44,0.6,0.2857142857,0.52,14,13,13,14,1,0,0,0,2,1,1,67,75,67,75,8,1
250,259,10,10,0.7272727273,0.9090909091,0,10,0.9594594595,0.9864864865,0.8181818182,0.972972973,11,11,11,11,0,0,0,0,2,1,1,73,74,73,74,1,1
945,954,10,10,1,1,0,10,1,1,1,1,9,9,9,9,0,1,1,2,2,1,1,84,84,84,84,0,1
115,125,11,11,0.6666666667,0.6666666667,0,11,0.8636363636,0.9090909091,0.4166666667,0.7272727273,12,12,12,12,0,0,0,0,2,1,1,88,82,82,88,6,1
91,106,11,16,0,0,5,13.5,0.3076923077,0.5769230769,0,0.5,6,6,6,6,0,0,0,0,0,0,0,26,24,24,26,2,0
120,136,17,17,0.5263157895,0.9473684211,0,17,0.8736263736,0.956043956,0.9473684211,0.9505494505,19,19,19,19,0,0,1,1,2,1,1,176,182,176,182,6,1
792,826,35,35,1,1,0,35,1,1,1,1,36,36,36,36,0,0,0,0,2,1,1,217,217,217,217,0,1
126,130,5,5,1,1,0,5,1,1,1,1,5,5,5,5,0,0,0,0,2,1,1,60,60,60,60,0,1
32,51,18,20,0.8,0.8,2,19,0.8796992481,0.9323308271,0.55,0.8571428571,18,20,18,20,2,0,0,0,2,1,1,126,133,126,133,7,1
1085,1096,12,14,0.6153846154,0.8461538462,2,13,0.8275862069,0.8620689655,0.2307692308,0.724137931,13,11,11,13,2,1,1,2,2,1,1,116,100,100,116,16,0
1182,1203,18,22,0.6363636364,0.7272727273,4,20,0.7564102564,0.8076923077,0.2727272727,0.6730769231,18,22,18,22,4,0,0,0,2,1,1,130,156,130,156,26,1
38,63,26,40,0.1463414634,0.1707317073,14,33,0.2739273927,0.4554455446,0.1463414634,0.3234323432,41,26,26,41,15,0,0,0,2,1,1,303,193,193,303,110,0
153,163,11,12,0.1818181818,0.4545454545,1,11.5,0.3703703704,0.4691358025,0.1818181818,0.3827160494,11,11,11,11,0,0,1,1,3,2,1,81,56,56,81,25,0
159,166,8,10,0.4,0.7,2,9,0.641025641,0.7435897436,0.3,0.6153846154,10,8,8,10,2,0,0,0,2,1,1,39,31,31,39,8,0
